Nombre,Tipo1,Tipo2,Hp,Atq,Def,AtqEsp,Defesp,Vel
Mewtwo,Psiquico,-,106,110,90,154,90,130
Alakazam,Psiquico,-,55,50,45,135,95,120
Gengar,Fantasma,Veneno,60,65,60,130,75,110
Exeggutor,Planta,Psiquico,95,95,85,125,75,55
Zapdos,Electrico,Volador,90,90,85,125,90,100
Moltres,Fuego,Volador,90,100,90,125,85,90
Kadabra,Psiquico,-,40,35,30,120,70,105
Magneton,Electrico,Acero,50,60,95,120,70,70
Haunter,Fantasma,Veneno,45,50,45,115,55,95
Jynx,Hielo,Psiquico,65,50,35,115,95,95
Omastar,Agua,Roca,70,60,125,115,70,55
Vileplume,Planta,Veneno,75,80,85,110,90,50
Vaporeon,Agua,-,130,65,60,110,95,65
Jolteon,Electrico,-,65,65,60,110,95,130
Charizard,Fuego,Volador,78,84,78,109,85,100
Venusaur,Planta,Veneno,80,82,83,100,100,80
Arcanine,Fuego,-,90,110,80,100,80,95
Victreebell,Planta,Veneno,80,105,65,100,70,70
Slowbro,Agua,Psiquico,95,75,110,100,80,30
Tangela,Planta,-,65,55,115,100,40,60
Starmie,Agua,Psiquico,60,75,85,100,85,115
Mr.Mime,Psiquico,-,40,45,65,100,120,90
Magmar,Fuego,-,65,95,57,100,85,93
Dragonite,Dragon,Volador,91,134,95,100,100,80
Mew,Psiquico,-,100,100,100,100,100,100
Cleafable,Hada,-,95,70,73,95,90,60
Golduck,Agua,-,80,82,78,95,80,85
Seadra,Agua,-,55,65,95,95,45,85
Electabuzz,Electrico,-,65,83,57,95,85,105
Flareon,Fuego,-,65,130,60,95,110,65
Articuno,Hielo,Volador,90,85,100,95,125,85
Raichu,Electrico,-,60,90,55,90,80,110
Venomoth,Bicho,Veneno,70,65,60,90,75,90
Blastoise,Agua,-,79,83,100,85,105,78
Nidoking,Veneno,Tierra,81,102,77,85,75,85
Wigglytuff,Hada,-,140,70,45,85,50,45
Gloom,Planta,Veneno,60,65,70,85,75,40
Weepinbell,Planta,Veneno,65,90,50,85,45,55
Cloyster,Agua,Hielo,50,95,180,85,45,70
Weezing,Veneno,-,65,90,120,85,70,60
Lapras,Agua,Hielo,130,85,80,85,95,60
Porygon,Normal,-,65,60,70,85,75,40
Ninetales,Fuego,-,73,76,75,81,100,100
Ivysaur,Planta,Veneno,60,62,63,80,80,60
Charmeleon,Fuego,-,58,64,58,80,65,80
Butterfree,Bicho,Volador,60,45,50,80,80,70
Tentacruel,Agua,Veneno,80,70,65,80,120,100
Rapidash,Fuego,-,65,100,70,80,80,105
Electrode,Electrico,-,60,50,70,80,80,150
Nidoqueen,Veneno,Tierra,90,92,87,75,85,76
Hypno,Psiquico,-,85,73,70,73,115,67
Pidgeot,Normal,Volador,83,80,75,70,70,101
Poliwrath,Agua,Lucha,90,95,95,70,90,70
Dewgong,Agua,Hielo,90,70,80,70,95,70
Dragonair,Dragon,-,61,84,65,70,70,70
Wartortle,Agua,-,59,63,80,65,80,58
Arbok,Veneno,-,60,95,69,65,79,80
Golbat,Veneno,Volador,75,80,70,65,75,90
Persian,Normal,-,65,70,60,65,65,115
Machamp,Lucha,-,90,130,80,65,85,55
Muk,Veneno,-,105,105,75,65,100,50
Seaking,Agua,-,80,92,65,65,80,68
Kabutops,Agua,Roca,60,115,105,65,70,80
Snorlax,Normal,-,160,110,65,65,110,30
Fearow,Normal,Volador,65,90,65,61,61,100
Parasect,Bicho,Planta,60,95,80,60,80,30
Primeape,Lucha,-,65,105,60,60,70,95
Dodrio,Normal,Volador,60,110,70,60,60,110
Lickitung,Normal,-,90,55,75,60,75,30
Gyarados,Agua,Volador,95,125,79,60,100,81
Aerodactyl,Roca,Volador,80,105,65,60,75,130
Farfecth'd,Normal,Volador,52,90,55,58,62,60
Nidorina,Veneno,-,70,62,67,55,55,56
Nidorino,Veneno,-,61,72,57,55,55,65
Golem,Roca,Tierra,80,120,130,55,65,45
Scyther,Bicho,Volador,70,110,80,55,80,105
Pinsir,Bicho,-,65,125,100,55,70,85
Pidgeotto,Normal,Volador,63,60,55,50,50,71
Raticate,Normal,-,55,81,60,50,70,97
Pikachu,Electrico,-,35,55,40,50,50,90
Dugtrio,Tierra,-,35,100,50,50,70,120
Poliwhirl,Agua,-,65,65,65,50,50,90
Machoke,Lucha,-,80,100,70,50,60,45
Kingler,Agua,-,55,130,115,50,50,75
Marowak,Tierra,-,60,80,110,50,80,45
Ditto,Normal,-,48,48,48,48,48,48
Beedrill,Bicho,Veneno,65,90,40,45,80,75
Sandslash,Tierra,-,75,100,110,45,55,65
Graveler,Roca,Tierra,55,95,115,45,45,35
Rhydon,Tierra,Roca,105,130,120,45,45,40
Kangaskhan,Normal,-,105,95,80,40,80,90
Tauros,Normal,-,75,100,95,40,70,110
Hitmonlee,Lucha,-,50,120,53,35,110,87
Hitmonchan,Lucha,-,50,105,79,35,110,76
Chansey,Normal,-,250,5,5,35,105,50
Onix,Roca,Tierra,35,45,160,30,45,70
